,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,52.0,52.110001000000004,47.77,48.43,40.674107,16056900.0
1,2016-01-08,48.52,48.77,46.34,47.32,39.741879,22781500.0
2,2016-01-15,46.07,47.810001,45.759997999999996,47.389998999999996,39.800652,16102200.0
3,2016-01-22,48.189999,48.84,46.200001,46.43,38.994403999999996,13549000.0
4,2016-01-29,46.82,48.669998,46.66,47.939999,40.625538,22535300.0
5,2016-02-05,47.970001,48.169998,45.830002,47.740002000000004,40.456070000000004,18793200.0
6,2016-02-12,48.330002,51.02,47.919998,50.849998,43.091549,11013100.0
7,2016-02-19,50.669998,52.16,50.450001,52.139998999999996,44.184723,9728200.0
8,2016-02-26,52.490002000000004,52.610001000000004,51.369999,52.450001,44.44743,10134500.0
9,2016-03-04,52.529999,52.810001,51.43,51.869999,43.955917,7686500.0
10,2016-03-11,52.48,54.450001,52.0,54.23,45.955837,7701700.0
11,2016-03-18,54.470001,54.470001,53.43,53.990002000000004,45.75246,7667400.0
12,2016-03-25,54.07,54.57,52.32,54.009997999999996,45.769409,11295300.0
13,2016-04-01,53.310001,54.509997999999996,52.630001,52.869999,44.803349,10210900.0
14,2016-04-08,53.23,53.57,52.470001,52.93,44.854198,8302200.0
15,2016-04-15,52.790001000000004,53.82,52.209998999999996,52.290001000000004,44.311828999999996,8384900.0
16,2016-04-22,52.279999,53.290001000000004,52.040001000000004,52.82,44.760975,9792800.0
17,2016-04-29,52.299999,52.66,51.130001,51.189999,43.379669,8926800.0
18,2016-05-06,51.060001,52.93,51.060001,52.110001000000004,44.516865,8448400.0
19,2016-05-13,52.110001000000004,52.389998999999996,51.09,51.709998999999996,44.175148,6944900.0
20,2016-05-20,51.880001,54.049999,51.709998999999996,53.970001,46.105843,8728400.0
21,2016-05-27,54.07,54.950001,53.68,54.939999,46.934502,7994000.0
22,2016-06-03,54.650002,55.439999,54.200001,55.209998999999996,47.165154,8634200.0
23,2016-06-10,54.349998,55.009997999999996,54.0,54.900002,46.90033,7453400.0
24,2016-06-17,54.869999,56.299999,54.25,56.290001000000004,48.08778,8125800.0
25,2016-06-24,53.779999,59.549999,53.57,59.5,50.830051,23037100.0
26,2016-07-01,59.110001000000004,61.27,58.52,60.59,51.761219,15880400.0
27,2016-07-08,61.07,61.869999,60.73,61.119999,52.213989,11895600.0
28,2016-07-15,61.380001,61.41,60.09,60.34,51.547653000000004,9471900.0
29,2016-07-22,60.669998,61.27,58.93,59.200001,50.573769,10427200.0
30,2016-07-29,59.16,59.59,58.23,58.639998999999996,50.48077,11575600.0
31,2016-08-05,59.02,59.93,58.849998,59.900002,51.565456,6563200.0
32,2016-08-12,59.669998,60.25,59.099998,59.830002,51.505199,7292900.0
33,2016-08-19,59.740002000000004,60.98,59.450001,60.73,52.279971999999994,6517600.0
34,2016-08-26,60.75,61.189999,60.009997999999996,60.990002000000004,52.503795999999994,5914800.0
35,2016-09-02,61.360001000000004,61.619999,60.75,61.07,52.572666000000005,5031300.0
36,2016-09-09,60.52,60.669998,57.810001,59.009997999999996,50.79929,12654900.0
37,2016-09-16,59.029999,60.48,58.009997999999996,60.369999,51.970062,10311600.0
38,2016-09-23,60.330002,60.700001,57.009997999999996,57.16,49.206699,14083400.0
39,2016-09-30,57.43,58.119999,56.279999,56.740002000000004,48.845146,10522000.0
40,2016-10-07,56.93,57.080002,55.59,56.240002000000004,48.414711,7029700.0
41,2016-10-14,56.470001,56.790001000000004,55.43,56.240002000000004,48.414711,8364900.0
42,2016-10-21,55.970001,56.52,55.119999,55.25,47.562458,10263300.0
43,2016-10-28,54.919998,55.5,53.470001,53.830002,46.340042,12023900.0
44,2016-11-04,53.439999,56.240002000000004,52.779999,56.0,48.61285,15690300.0
45,2016-11-11,55.779999,56.970001,55.369999,55.919998,48.5434,15902300.0
46,2016-11-18,55.849998,58.080002,55.779999,58.049999,50.392429,10327000.0
47,2016-11-25,58.040001000000004,59.68,57.48,58.68,50.939323,14317600.0
48,2016-12-02,58.59,60.450001,58.23,60.27,52.319569,9035200.0
49,2016-12-09,60.02,61.200001,59.799999,60.740002000000004,52.72758100000001,8649100.0
50,2016-12-16,61.759997999999996,62.139998999999996,60.259997999999996,61.5,53.387325,12438300.0
51,2016-12-23,61.52,62.18,61.240002000000004,61.400002,53.300518000000004,4213500.0
52,2016-12-30,61.259997999999996,61.75,60.439999,60.849998,52.823067,6753500.0
53,2017-01-06,60.849998,61.549999,60.549999,61.34,53.248431999999994,6588800.0
54,2017-01-13,61.32,61.689999,60.639998999999996,60.900002,52.866482,4614400.0
55,2017-01-20,61.099998,62.169998,60.950001,61.450001,53.343925,7289700.0
56,2017-01-27,61.549999,61.560001,58.119999,58.549999,50.826465999999996,11138400.0
57,2017-02-03,58.900002,59.169998,57.07,58.490002000000004,51.159103,15112700.0
