,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,9.35,9.51,8.96,8.96,7.5488029999999995,78113800.0
1,2016-01-08,9.04,9.1,8.17,8.36,7.043303,133469000.0
2,2016-01-15,7.18,8.4,7.08,7.83,6.596777,132910600.0
3,2016-01-22,7.96,8.26,7.55,8.01,6.748425999999999,116994500.0
4,2016-01-29,8.02,8.15,7.34,7.9,6.655753,134337500.0
5,2016-02-05,7.95,8.05,7.0,7.08,5.9649019999999995,124635800.0
6,2016-02-12,7.24,8.02,7.22,7.62,6.419852,101941100.0
7,2016-02-19,7.59,7.91,7.21,7.51,6.327177,93151500.0
8,2016-02-26,7.64,8.3,7.52,8.28,6.9759020000000005,91814300.0
9,2016-03-04,8.37,8.57,7.82,7.97,6.714727000000001,115956800.0
10,2016-03-11,8.07,8.28,7.82,8.12,6.892475,81963800.0
11,2016-03-18,8.21,8.34,7.82,8.06,6.841547,86215200.0
12,2016-03-25,8.08,8.12,7.75,7.85,6.6632929999999995,63906000.0
13,2016-04-01,7.8,7.97,7.53,7.6,6.451086,78316300.0
14,2016-04-08,7.71,8.63,7.63,8.48,7.198053,125290900.0
15,2016-04-15,8.89,9.26,8.55,9.17,7.783744,135708600.0
16,2016-04-22,9.2,9.63,9.17,9.42,7.99595,108458800.0
17,2016-04-29,9.38,9.48,8.92,9.04,7.673398,108147900.0
18,2016-05-06,8.95,9.39,8.92,9.13,7.749789999999999,79753700.0
19,2016-05-13,9.13,9.7,8.89,9.47,8.038391,110696200.0
20,2016-05-20,9.52,9.9,9.36,9.73,8.259089,74154600.0
21,2016-05-27,9.8,10.0,9.6,10.0,8.488272,70163000.0
22,2016-06-03,9.71,10.0,9.5,9.7,8.233621000000001,77685800.0
23,2016-06-10,9.53,9.57,8.79,8.97,7.6646600000000005,129182300.0
24,2016-06-17,8.97,9.45,8.95,9.45,8.074809,73982000.0
25,2016-06-24,8.89,9.0,7.86,8.51,7.2716,135904200.0
26,2016-07-01,8.44,8.49,7.8,8.25,7.049438,81331800.0
27,2016-07-08,8.39,9.12,8.37,9.08,7.7586520000000005,102020500.0
28,2016-07-15,9.13,9.24,8.8,8.94,7.639025,124076500.0
29,2016-07-22,8.94,9.29,8.91,9.16,7.827008999999999,88492100.0
30,2016-07-29,9.1,9.32,8.82,9.04,7.724474000000001,98454800.0
31,2016-08-05,9.22,9.46,9.2,9.3,7.946636,68399500.0
32,2016-08-12,9.21,9.63,9.14,9.63,8.228616,75295500.0
33,2016-08-19,9.62,9.75,9.54,9.65,8.245704,67025500.0
34,2016-08-26,9.68,10.03,9.65,9.85,8.416599,73266300.0
35,2016-09-02,9.9,10.08,9.77,9.93,8.484958,82721700.0
36,2016-09-09,9.92,10.03,9.37,9.63,8.283054,114311100.0
37,2016-09-16,9.56,9.8,9.49,9.77,8.403474000000001,79223900.0
38,2016-09-23,9.71,10.0,9.45,9.67,8.317458,76723200.0
39,2016-09-30,9.74,10.43,9.66,10.32,8.876544,79443900.0
40,2016-10-07,10.34,10.47,9.78,9.95,8.558292999999999,75685300.0
41,2016-10-14,10.06,10.79,9.87,10.61,9.125979,127855000.0
42,2016-10-21,10.52,10.96,10.48,10.84,9.323813000000001,72612800.0
43,2016-10-28,10.86,10.88,10.43,10.46,8.996962,102549700.0
44,2016-11-04,10.47,12.4,10.32,12.18,10.476386999999999,121518400.0
45,2016-11-11,12.11,13.54,12.0,13.17,11.327914999999999,230715700.0
46,2016-11-18,13.17,13.38,12.98,13.3,11.439732000000001,119659900.0
47,2016-11-25,13.36,13.9,13.01,13.84,11.904200999999999,92388500.0
48,2016-12-02,13.8,14.73,13.59,14.55,12.514894,129027600.0
49,2016-12-09,14.62,14.73,13.95,14.52,12.546358,130131600.0
50,2016-12-16,14.58,14.68,14.07,14.55,12.572281,103013300.0
51,2016-12-23,14.56,14.69,14.12,14.17,12.243933,44252600.0
52,2016-12-30,14.23,14.72,14.16,14.43,12.468594,56367600.0
53,2017-01-06,14.55,14.67,14.16,14.43,12.468594,64593000.0
54,2017-01-13,14.54,14.93,13.65,13.98,12.079758,86017400.0
55,2017-01-20,13.97,14.81,13.78,14.7,12.701891999999999,77467000.0
56,2017-01-27,14.66,14.74,14.2,14.25,12.313062,67941700.0
57,2017-02-03,14.52,14.99,14.24,14.99,12.952474,73036600.0
58,2017-02-10,15.01,15.66,14.91,15.59,13.470917000000002,75317800.0
59,2017-02-17,15.38,15.57,15.07,15.34,13.254901,52218200.0
60,2017-02-24,15.16,16.030001000000002,15.07,15.32,13.237619,79504300.0
61,2017-03-03,15.35,15.56,15.06,15.2,13.133929,70487000.0
62,2017-03-10,15.3,15.35,14.75,15.05,13.059984,78436600.0
63,2017-03-17,15.05,15.11,13.73,14.23,12.348409,118992900.0
64,2017-03-24,14.32,14.77,13.61,14.68,12.738908,72049000.0
65,2017-03-31,14.59,14.91,14.2,14.53,12.608741,73330000.0
66,2017-04-07,14.39,14.54,13.67,13.68,11.871135,78809400.0
67,2017-04-14,13.72,14.06,13.0,13.64,11.836425,112083300.0
