,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,98.559998,99.849998,97.209999,97.57,82.94046800000001,22506200.0
1,2016-01-08,97.83000200000001,98.629997,95.660004,95.809998,81.444351,27431300.0
2,2016-01-15,93.949997,96.099998,93.25,94.470001,80.305283,28692700.0
3,2016-01-22,94.879997,97.900002,94.120003,97.449997,82.83844,26053800.0
4,2016-01-29,97.870003,99.400002,97.0,97.389999,82.787453,25156600.0
5,2016-02-05,97.639999,98.790001,96.089996,96.900002,82.370926,25702500.0
6,2016-02-12,96.400002,99.970001,96.150002,99.620003,84.683098,18042600.0
7,2016-02-19,98.459999,100.699997,98.400002,100.66999799999999,85.575661,23344000.0
8,2016-02-26,100.489998,100.540001,97.540001,99.160004,84.292068,26658300.0
9,2016-03-04,98.809998,100.879997,98.57,100.779999,86.281288,28493300.0
10,2016-03-11,101.0,102.120003,100.010002,101.870003,87.214478,23165600.0
11,2016-03-18,101.66999799999999,102.120003,100.150002,100.68,86.19567099999999,21742800.0
12,2016-03-25,100.959999,103.449997,100.760002,102.480003,87.736725,17183500.0
13,2016-04-01,101.970001,103.989998,101.949997,103.599998,88.695595,22355900.0
14,2016-04-08,103.989998,105.769997,102.709999,103.160004,88.31890899999999,24681400.0
15,2016-04-15,103.239998,104.610001,100.41999799999999,100.989998,86.461067,29210200.0
16,2016-04-22,101.16999799999999,103.400002,100.940002,102.970001,88.156235,20465500.0
17,2016-04-29,102.93,104.879997,102.400002,104.209999,89.217834,19801500.0
18,2016-05-06,103.68,106.940002,103.68,106.099998,90.835922,18485600.0
19,2016-05-13,105.75,106.099998,100.269997,101.33000200000001,86.752167,29190500.0
20,2016-05-20,101.709999,101.959999,100.0,101.900002,87.240166,21103100.0
21,2016-05-27,102.129997,102.379997,100.300003,102.0,87.325775,17605300.0
22,2016-06-03,101.91999799999999,103.82,101.91999799999999,103.660004,89.412437,17947600.0
23,2016-06-10,103.25,103.93,101.739998,103.849998,89.576332,19149600.0
24,2016-06-17,103.589996,104.68,102.400002,104.440002,90.085236,18826400.0
25,2016-06-24,102.489998,106.0,101.300003,105.940002,91.37906600000001,33103700.0
26,2016-07-01,106.230003,109.0,105.379997,107.489998,92.71601899999999,25520200.0
27,2016-07-08,108.040001,110.940002,107.32,109.959999,94.846535,26741600.0
28,2016-07-15,109.769997,110.489998,108.110001,108.58000200000001,93.656227,18694000.0
29,2016-07-22,108.779999,109.410004,106.690002,108.129997,93.268051,17303000.0
30,2016-07-29,108.260002,109.25,107.68,108.41999799999999,93.518196,18226400.0
31,2016-08-05,108.739998,109.360001,107.66999799999999,108.480003,93.569969,13848500.0
32,2016-08-12,108.639999,108.989998,107.599998,108.279999,93.397446,12935300.0
33,2016-08-19,108.040001,108.550003,107.540001,107.879997,93.05242199999999,13176300.0
34,2016-08-26,107.91999799999999,108.5,106.260002,107.290001,92.54351,16947400.0
35,2016-09-02,107.58000200000001,108.25,106.489998,106.879997,92.841957,13336400.0
36,2016-09-09,106.019997,106.220001,104.050003,105.480003,91.625839,22908000.0
37,2016-09-16,105.0,107.940002,104.58000200000001,107.82,93.658478,19718400.0
38,2016-09-23,107.68,109.709999,106.730003,107.760002,93.606377,23735200.0
39,2016-09-30,108.370003,109.239998,105.459999,106.400002,92.425003,28752400.0
40,2016-10-07,106.760002,106.91999799999999,105.0,105.91999799999999,92.008049,18334500.0
41,2016-10-14,106.07,108.18,105.58000200000001,105.870003,91.96461500000001,20825200.0
42,2016-10-21,106.010002,107.949997,105.269997,106.629997,92.624794,20143700.0
43,2016-10-28,106.900002,107.529999,106.120003,106.629997,92.624794,17937100.0
44,2016-11-04,106.559998,108.93,102.400002,103.25,89.688721,28648700.0
45,2016-11-11,103.0,103.769997,100.449997,101.620003,88.27282,26985000.0
46,2016-11-18,101.400002,103.0,101.18,101.529999,88.194633,17988700.0
47,2016-11-25,102.0,103.25,98.5,99.029999,86.02301,28335100.0
48,2016-12-02,99.400002,102.93,99.400002,102.150002,89.389664,22252100.0
49,2016-12-09,102.230003,106.529999,102.040001,105.300003,92.146149,23594100.0
50,2016-12-16,105.550003,105.91999799999999,104.25,105.349998,92.18991899999999,21936700.0
51,2016-12-23,104.970001,105.32,104.480003,104.989998,91.874886,7591000.0
52,2016-12-30,104.709999,105.629997,104.190002,104.709999,91.62986,15342100.0
53,2017-01-06,104.980003,105.160004,101.410004,101.839996,89.11837,22888700.0
54,2017-01-13,101.879997,103.0,101.059998,102.360001,89.573402,15487900.0
55,2017-01-20,102.790001,105.190002,102.440002,104.139999,91.131065,21528600.0
56,2017-01-27,104.379997,104.410004,102.980003,104.029999,91.034798,18286700.0
57,2017-02-03,104.440002,106.489998,104.059998,105.970001,92.73246,20042200.0
58,2017-02-10,105.83000200000001,108.18,104.769997,108.120003,94.613876,24781300.0
59,2017-02-17,107.290001,110.0,107.209999,109.540001,95.856514,18067100.0
60,2017-02-24,109.5,110.599998,109.050003,110.110001,96.355293,20783100.0
61,2017-03-03,110.099998,110.66999799999999,108.470001,109.019997,96.056747,22274800.0
62,2017-03-10,109.58000200000001,111.230003,109.029999,111.139999,97.924667,19804200.0
63,2017-03-17,111.480003,112.379997,110.809998,111.779999,98.488556,22504800.0
64,2017-03-24,111.980003,112.760002,111.57,112.18,98.840988,16161800.0
65,2017-03-31,112.309998,112.589996,111.41999799999999,111.58000200000001,98.31234,15424800.0
66,2017-04-07,111.699997,113.769997,111.349998,112.68,99.281563,18221900.0
67,2017-04-14,112.739998,114.610001,112.68,113.589996,100.08335100000001,13509600.0
68,2017-04-21,113.550003,114.57,111.339996,112.639999,99.2463,20190500.0
69,2017-04-28,112.339996,113.43,111.699997,112.959999,99.52825899999999,18860100.0
