,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,117.459999,120.25,103.57,112.639999,110.549973,16144000
1,2016-02-01,112.279999,117.5,100.82,110.370003,108.322098,17303300
2,2016-03-01,110.83000200000001,126.66999799999999,109.279999,124.720001,122.515923,16293500
3,2016-04-01,123.41999799999999,139.770004,121.370003,133.679993,131.317566,16507900
4,2016-05-01,133.71000700000002,137.0,131.520004,134.860001,132.476761,15167700
5,2016-06-01,134.619995,139.46000700000002,128.53999299999998,134.100006,131.828232,14069900
6,2016-07-01,133.96000700000002,138.770004,125.940002,129.529999,127.335617,15802700
7,2016-08-01,128.809998,130.020004,118.889999,120.529999,118.488091,16597100
8,2016-09-01,120.68,125.160004,118.040001,123.220001,121.23256699999999,17143700
9,2016-10-01,122.83000200000001,126.290001,117.41999799999999,120.709999,118.76303100000001,19067200
10,2016-11-01,121.209999,129.21000700000002,105.349998,123.019997,121.035789,18662700
11,2016-12-01,123.279999,128.080002,99.720001,106.379997,104.749504,40064200
12,2017-01-01,106.809998,114.980003,105.220001,112.629997,110.90371699999999,14523900
13,2017-02-01,113.129997,126.980003,111.959999,125.599998,123.67491100000001,13832900
14,2017-03-01,128.809998,129.740005,117.510002,124.449997,122.639885,19657200
15,2017-04-01,124.660004,126.489998,116.290001,120.760002,119.003555,12821600
16,2017-05-01,120.720001,125.5,113.120003,113.660004,112.006844,14650900
17,2017-06-01,113.849998,122.599998,110.5,122.08000200000001,120.40808899999999,16524500
18,2017-07-01,122.339996,126.099998,109.260002,110.83000200000001,109.312164,17109400
19,2017-08-01,110.879997,112.66999799999999,104.93,108.129997,106.64915500000001,16704300
20,2017-09-01,108.220001,112.769997,106.519997,110.940002,109.52308700000002,12272000
21,2017-10-01,111.07,113.989998,101.260002,102.699997,101.388313,22719900
22,2017-11-01,102.449997,110.959999,95.260002,108.349998,106.966171,20624200
23,2017-12-01,108.470001,116.209999,104.040001,113.349998,112.00653799999999,18634300
24,2018-01-01,114.160004,125.809998,108.620003,121.5,120.059929,19339600
25,2018-02-01,120.989998,122.57,111.440002,114.199997,112.846451,13252100
26,2018-03-01,115.510002,128.149994,113.660004,118.410004,117.106125,19027800
27,2018-04-01,118.410004,122.989998,111.339996,114.199997,112.942497,19499700
28,2018-05-01,114.489998,120.029999,112.610001,114.980003,113.713898,17017900
29,2018-06-01,115.540001,117.860001,110.620003,111.440002,110.307175,17704500
30,2018-07-01,111.339996,126.5,109.370003,122.099998,120.85881,17618800
31,2018-08-01,119.959999,130.25,119.120003,130.16000400000001,128.836884,13733300
32,2018-09-01,129.990005,132.639999,123.050003,127.839996,126.638451,11611300
33,2018-10-01,128.860001,129.03999299999998,115.050003,121.559998,120.417473,18181900
34,2018-11-01,122.449997,138.979996,121.83000200000001,137.990005,136.69305400000002,15367300
35,2018-12-01,139.130005,139.630005,112.790001,116.559998,115.54827900000001,19695400
36,2019-01-01,115.300003,133.639999,114.849998,132.529999,131.379669,14998000
37,2019-02-01,132.740005,141.41000400000001,129.559998,138.830002,137.624985,12345600
38,2019-03-01,140.330002,142.220001,127.68,133.770004,132.708527,14091100
39,2019-04-01,134.889999,135.58999599999999,120.900002,126.870003,125.863243,18546800
40,2019-05-01,126.800003,127.400002,117.769997,119.550003,118.60133400000001,15601200
41,2019-06-01,119.550003,130.389999,119.150002,130.389999,129.46312,13114100
42,2019-07-01,131.169998,157.78999299999998,127.75,150.860001,149.787613,14799500
43,2019-08-01,151.100006,151.979996,139.880005,144.580002,143.552246,12481100
44,2019-09-01,143.610001,157.059998,143.320007,148.75,147.897675,15748800
45,2019-10-01,148.46000700000002,151.179993,130.78999299999998,137.46000700000002,136.672394,14755500
46,2019-11-01,138.529999,145.28999299999998,138.240005,139.490005,138.69073500000002,10975800
47,2019-12-01,140.03999299999998,146.729996,138.050003,143.46000700000002,142.63798500000001,10936300
48,2020-01-01,144.259995,148.270004,136.729996,137.110001,136.518936,11149200
49,2020-02-01,137.979996,143.679993,121.389999,123.739998,123.206581,12772500
50,2020-03-01,124.400002,134.669998,65.199997,99.08000200000001,98.806984,30546800
51,2020-04-01,93.910004,113.519997,83.279999,105.690002,105.39877299999999,15260600
52,2020-05-01,102.980003,111.879997,86.650002,105.449997,105.159424,12709400
53,2020-06-01,105.0,114.540001,87.860001,92.889999,92.634041,19312400
54,2020-07-01,93.309998,114.83000200000001,86.66999799999999,109.900002,109.597168,15981800
55,2020-08-01,110.300003,115.440002,106.449997,110.349998,110.045929,11146500
56,2020-09-01,109.449997,122.989998,99.470001,107.019997,106.725098,16708300
57,2020-10-01,107.120003,120.010002,103.349998,109.550003,109.248131,12091700
58,2020-11-01,111.510002,136.610001,110.220001,130.580002,130.22018400000002,13610000
59,2020-12-01,133.050003,140.240005,130.03999299999998,137.5,137.12110900000002,10706800
60,2021-01-01,137.800003,143.83999599999999,123.82,124.68,124.336441,12083400
